timestamp_us,event,value_us
2340006052,udp_inter_packet_us,113
2340006181,udp_decode_us,128
2340006181,udp_write_slice_us,0
2340006186,udp_inter_packet_us,134
2340006274,udp_decode_us,88
2340006275,udp_write_slice_us,0
2340006279,udp_inter_packet_us,93
2340006366,udp_decode_us,87
2340006367,udp_write_slice_us,0
2340006371,udp_inter_packet_us,91
2340006457,udp_decode_us,87
2340006458,udp_write_slice_us,1
2340006462,udp_inter_packet_us,92
2340006549,udp_decode_us,86
2340006549,udp_write_slice_us,0
2340006556,udp_inter_packet_us,94
2340006643,udp_decode_us,87
2340006644,udp_write_slice_us,0
2340006648,udp_inter_packet_us,91
2340006734,udp_decode_us,87
2340006735,udp_write_slice_us,0
2340006739,udp_inter_packet_us,91
2340006855,udp_decode_us,117
2340006856,udp_write_slice_us,1
2340006861,udp_inter_packet_us,122
2340006944,udp_decode_us,84
2340006945,udp_write_slice_us,0
2340006949,udp_inter_packet_us,89
2340007046,udp_decode_us,96
2340007046,udp_write_slice_us,0
2340007051,udp_inter_packet_us,101
2340007159,udp_decode_us,109
2340007159,udp_write_slice_us,0
2340007165,udp_inter_packet_us,114
2340007286,udp_decode_us,122
2340007286,udp_write_slice_us,0
2340007292,udp_inter_packet_us,127
2340007400,udp_decode_us,108
2340007400,udp_write_slice_us,0
2340007406,udp_inter_packet_us,114
2340007553,udp_decode_us,147
2340007553,udp_write_slice_us,0
2340007559,udp_inter_packet_us,153
2340007688,udp_decode_us,130
2340007689,udp_write_slice_us,0
2340007694,udp_inter_packet_us,135
2340007777,udp_decode_us,84
2340007778,udp_write_slice_us,0
2340007783,udp_inter_packet_us,90
2340007867,udp_decode_us,83
2340007867,udp_write_slice_us,0
2340007871,udp_inter_packet_us,88
2340007955,udp_decode_us,84
2340007956,udp_write_slice_us,0
2340007960,udp_inter_packet_us,88
2340008070,udp_decode_us,110
2340008070,udp_write_slice_us,0
2340008621,udp_inter_packet_us,662
2340008714,udp_decode_us,93
2340008769,udp_write_slice_us,55
2340010215,udp_inter_packet_us,1594
2340010309,udp_decode_us,94
2340010361,udp_write_slice_us,50
2340010368,udp_inter_packet_us,153
2340010488,udp_decode_us,120
2340010576,udp_write_slice_us,86
2340010581,udp_inter_packet_us,213
2340010713,udp_decode_us,132
2340010753,udp_write_slice_us,40
2340010759,udp_inter_packet_us,178
2340010855,udp_decode_us,96
2340011570,udp_write_slice_us,56
2340011585,udp_inter_packet_us,826
2340011670,udp_decode_us,84
2340011710,udp_write_slice_us,39
2340011715,udp_inter_packet_us,130
2340011804,udp_decode_us,89
2340011836,udp_write_slice_us,32
2340011841,udp_inter_packet_us,126
2340011988,udp_decode_us,147
2340012071,udp_write_slice_us,82
2340012077,udp_inter_packet_us,236
2340012208,udp_decode_us,131
2340012241,udp_write_slice_us,33
2340012247,udp_inter_packet_us,170
2340012344,udp_decode_us,97
2340012385,udp_write_slice_us,40
2340012390,udp_inter_packet_us,143
2340012500,udp_decode_us,109
2340012533,udp_write_slice_us,33
2340012538,udp_inter_packet_us,148
2340012631,udp_decode_us,93
2340012678,udp_write_slice_us,46
2340012683,udp_inter_packet_us,145
2340012798,udp_decode_us,115
2340012845,udp_write_slice_us,46
2340012850,udp_inter_packet_us,167
2340012982,udp_decode_us,132
2340013014,udp_write_slice_us,32
2340013020,udp_inter_packet_us,170
2340013130,udp_decode_us,110
2340013177,udp_write_slice_us,47
2340013182,udp_inter_packet_us,161
